protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
PCI21475.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
WP_085769853.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
WP_202213630.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. AP8	Methylacidimicrobium	2730359.0
WP_075055902.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera viennensis	Nitrososphaera	1034015.0
WP_025041553.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae		Nitrosospira	35798.0
WP_063958190.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium manausense	Bradyrhizobium	989370.0
WP_090572383.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm33	Nitrosomonas	133724.0
THJ25131.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24E	Nitrospira	1985129.0
WP_133717447.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylocaldum	2622260.0
TMD91673.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
WP_196399963.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. H4A	Methylocystis	2785788.0
WP_028460735.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas cryotolerans	Nitrosomonas	44575.0
WP_008359138.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides luteus	Nocardioides	1844.0
WP_170954691.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas sp. AER18D-145	Polaromonas	1977060.0
BAL55374.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
WP_196392920.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylocystis	2625913.0
WP_134438935.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Phi	Methylacidiphilum	1847729.0
AAR98536.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas petroleovorans	Brachymonas	240505.0
WP_068635401.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera butanivorans	Thauera	86174.0
QMP83315.1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae sp.		2202564.0
TKB79806.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_026016154.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
CCD32212.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. SC2	Methylocystis	187303.0
PCJ15611.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
RLA42008.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
