Assembly IDs	0	1	operon	interested lineages	operon pro	show_text
GCA_009833125.1	-102.06249122906492	73.22053368125843	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900116685.1	-46.07166900962364	68.83741278231197	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900107335.1	-89.25787881439864	32.39938067029585	AMO	beta	beta-AMO	Betaproteobacteria
GCA_004365265.1	-68.84805682250983	249.1961908312683	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016717525.1	25.02671654233098	-53.16875054867536	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900102495.1	-73.0039133957515	188.7673646124196	AMO	beta	beta-AMO	Betaproteobacteria
GCA_004364015.1	-70.32315788086618	251.87116766657493	AMO	beta	beta-AMO	Betaproteobacteria
GCA_015709435.1	-1.7297319482916316	64.27552422721674	AMO	beta	beta-AMO	Betaproteobacteria
GCA_001567435.1	-82.67382933180899	53.62165689943104	AMO	beta	beta-AMO	Betaproteobacteria
GCA_004340695.1	84.93822228671847	-0.1598583017101973	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003201565.1	83.70775439471758	-1.3306095691696005	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900106555.1	55.40214366343715	-22.034926898050774	no	beta	no	Betaproteobacteria
GCA_003050805.1	57.15236108888387	-12.69398897941604	AMO	beta	beta-AMO	Betaproteobacteria
GCA_009833095.1	79.69206502360942	44.80036299976062	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000832065.1	11.945252597268144	238.59591542439748	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900116835.1	-41.57681229459022	271.908975254952	no	beta	no	Betaproteobacteria
GCA_003050865.1	-56.283481929688286	200.97612292471604	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003269055.1	-44.79192339979564	223.4238416104859	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900100485.1	-94.82943102583852	40.68238203782747	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000009145.1	-12.548590465787518	50.58636733478616	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003201195.1	25.27047804137605	83.96212610037514	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000196355.1	-71.08667713882132	215.0930078201795	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900106625.1	-13.431348785292446	51.415830071778565	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900110385.1	53.85552832116704	-23.65960636911335	no	beta	no	Betaproteobacteria
GCA_900215485.1	-82.31349295797685	235.30288615849076	AMO	beta	beta-AMO	Betaproteobacteria
GCA_009833115.1	19.93560525284778	87.83085123465975	no	beta	no	Betaproteobacteria
GCA_000014765.1	26.419749492541836	84.1136116876435	AMO	beta	beta-AMO	Betaproteobacteria
